Tempo,Corpos,Cores,Movimento
0.60531, 100, 1, 100
0.607933, 100, 1, 100
0.60785, 100, 1, 100
0.61215, 100, 1, 100
0.601406, 100, 1, 100
0.606375, 100, 1, 100
0.606588, 100, 1, 100
0.609176, 100, 1, 100
0.60592, 100, 1, 100
0.6107, 100, 1, 100
0.605197, 100, 1, 100
2.496366, 200, 1, 100
2.500096, 200, 1, 100
2.502789, 200, 1, 100
2.501033, 200, 1, 100
2.507913, 200, 1, 100
2.518404, 200, 1, 100
2.508929, 200, 1, 100
2.5019, 200, 1, 100
2.507835, 200, 1, 100
2.507775, 200, 1, 100
2.4994, 200, 1, 100
2.502415, 200, 1, 100
2.49581, 200, 1, 100
2.496713, 200, 1, 100
2.525215, 200, 1, 100
2.504507, 200, 1, 100
2.509056, 200, 1, 100
2.517445, 200, 1, 100
2.508958, 200, 1, 100
2.517479, 200, 1, 100
2.496979, 200, 1, 100
2.500898, 200, 1, 100
2.518221, 200, 1, 100
2.527571, 200, 1, 100
2.506695, 200, 1, 100
2.508102, 200, 1, 100
2.527779, 200, 1, 100
2.511377, 200, 1, 100
2.499748, 200, 1, 100
2.511584, 200, 1, 100
2.512398, 200, 1, 100
2.505228, 200, 1, 100
2.495337, 200, 1, 100
2.51065, 200, 1, 100
2.507852, 200, 1, 100
2.500505, 200, 1, 100
2.506777, 200, 1, 100
2.492169, 200, 1, 100
2.496127, 200, 1, 100
2.500848, 200, 1, 100
2.50145, 200, 1, 100
2.500931, 200, 1, 100
2.501077, 200, 1, 100
2.508156, 200, 1, 100
2.490745, 200, 1, 100
2.499102, 200, 1, 100
2.508859, 200, 1, 100
2.505245, 200, 1, 100
2.497926, 200, 1, 100
2.499573, 200, 1, 100
5.916297, 300, 1, 100
5.87666, 300, 1, 100
5.832351, 300, 1, 100
5.856599, 300, 1, 100
5.91226, 300, 1, 100
5.982175, 300, 1, 100
5.889279, 300, 1, 100
5.878782, 300, 1, 100
5.855846, 300, 1, 100
5.875979, 300, 1, 100
5.846815, 300, 1, 100
5.880103, 300, 1, 100
5.866389, 300, 1, 100
5.882538, 300, 1, 100
5.849496, 300, 1, 100
5.856847, 300, 1, 100
5.852766, 300, 1, 100
5.850682, 300, 1, 100
5.87902, 300, 1, 100
5.898044, 300, 1, 100
5.870494, 300, 1, 100
5.850921, 300, 1, 100
5.847045, 300, 1, 100
5.849741, 300, 1, 100
5.875402, 300, 1, 100
5.906629, 300, 1, 100
5.88113, 300, 1, 100
5.863131, 300, 1, 100
5.871166, 300, 1, 100
5.878441, 300, 1, 100
5.851077, 300, 1, 100
5.853476, 300, 1, 100
5.849275, 300, 1, 100
5.891653, 300, 1, 100
5.843789, 300, 1, 100
5.86441, 300, 1, 100
5.874421, 300, 1, 100
5.900916, 300, 1, 100
5.884384, 300, 1, 100
5.882836, 300, 1, 100
5.886111, 300, 1, 100
5.895078, 300, 1, 100
5.854396, 300, 1, 100
5.902007, 300, 1, 100
5.884689, 300, 1, 100
5.894085, 300, 1, 100
5.846633, 300, 1, 100
6.045863, 300, 1, 100
5.842187, 300, 1, 100
5.902823, 300, 1, 100
11.349096, 400, 1, 100
10.875117, 400, 1, 100
10.913564, 400, 1, 100
10.819991, 400, 1, 100
10.822697, 400, 1, 100
10.801605, 400, 1, 100
10.818855, 400, 1, 100
10.858001, 400, 1, 100
10.87641, 400, 1, 100
10.817096, 400, 1, 100
10.793216, 400, 1, 100
10.900912, 400, 1, 100
10.815491, 400, 1, 100
10.783335, 400, 1, 100
10.858756, 400, 1, 100
10.826781, 400, 1, 100
11.707972, 400, 1, 100
10.81605, 400, 1, 100
10.828521, 400, 1, 100
10.782137, 400, 1, 100
10.827557, 400, 1, 100
10.892794, 400, 1, 100
10.963414, 400, 1, 100
10.762472, 400, 1, 100
10.807067, 400, 1, 100
10.838877, 400, 1, 100
10.847629, 400, 1, 100
10.909068, 400, 1, 100
10.961146, 400, 1, 100
10.824525, 400, 1, 100
10.888045, 400, 1, 100
10.859433, 400, 1, 100
10.79006, 400, 1, 100
10.804989, 400, 1, 100
10.84032, 400, 1, 100
10.848299, 400, 1, 100
10.795579, 400, 1, 100
10.812281, 400, 1, 100
10.816695, 400, 1, 100
10.816477, 400, 1, 100
10.856348, 400, 1, 100
10.832945, 400, 1, 100
10.892815, 400, 1, 100
10.853138, 400, 1, 100
10.838199, 400, 1, 100
10.849514, 400, 1, 100
10.845227, 400, 1, 100
10.81718, 400, 1, 100
10.883498, 400, 1, 100
11.191606, 400, 1, 100
17.67607, 500, 1, 100
17.607905, 500, 1, 100
17.584251, 500, 1, 100
17.603856, 500, 1, 100
17.618984, 500, 1, 100
17.579502, 500, 1, 100
17.581724, 500, 1, 100
17.551671, 500, 1, 100
17.605093, 500, 1, 100
17.641967, 500, 1, 100
17.604646, 500, 1, 100
17.546985, 500, 1, 100
17.577619, 500, 1, 100
17.734779, 500, 1, 100
17.623897, 500, 1, 100
17.616574, 500, 1, 100
17.636484, 500, 1, 100
17.537519, 500, 1, 100
17.541677, 500, 1, 100
17.545737, 500, 1, 100
17.594716, 500, 1, 100
17.660589, 500, 1, 100
17.587052, 500, 1, 100
17.665009, 500, 1, 100
17.707066, 500, 1, 100
17.602051, 500, 1, 100
17.600864, 500, 1, 100
17.604206, 500, 1, 100
17.521203, 500, 1, 100
17.571448, 500, 1, 100
17.699011, 500, 1, 100
17.675745, 500, 1, 100
17.630484, 500, 1, 100
18.121077, 500, 1, 100
17.530731, 500, 1, 100
17.525696, 500, 1, 100
17.675999, 500, 1, 100
17.596928, 500, 1, 100
17.679278, 500, 1, 100
17.673545, 500, 1, 100
17.552963, 500, 1, 100
17.518777, 500, 1, 100
17.533842, 500, 1, 100
17.624038, 500, 1, 100
17.56158, 500, 1, 100
17.585784, 500, 1, 100
18.149035, 500, 1, 100
17.530778, 500, 1, 100
17.578045, 500, 1, 100
17.568793, 500, 1, 100
26.234494, 600, 1, 100
26.13611, 600, 1, 100
26.277072, 600, 1, 100
26.396376, 600, 1, 100
26.160749, 600, 1, 100
26.28069, 600, 1, 100
26.224243, 600, 1, 100
26.239931, 600, 1, 100
26.155385, 600, 1, 100
26.181333, 600, 1, 100
26.154124, 600, 1, 100
26.328774, 600, 1, 100
26.202906, 600, 1, 100
26.13716, 600, 1, 100
26.221281, 600, 1, 100
26.176437, 600, 1, 100
26.203189, 600, 1, 100
26.215954, 600, 1, 100
26.264485, 600, 1, 100
26.309958, 600, 1, 100
26.189297, 600, 1, 100
26.161833, 600, 1, 100
26.138707, 600, 1, 100
30.588966, 600, 1, 100
26.298668, 600, 1, 100
26.20405, 600, 1, 100
26.60432, 600, 1, 100
26.18035, 600, 1, 100
26.17456, 600, 1, 100
26.253839, 600, 1, 100
26.12532, 600, 1, 100
26.274117, 600, 1, 100
26.197129, 600, 1, 100
26.163607, 600, 1, 100
26.212013, 600, 1, 100
26.223714, 600, 1, 100
26.194221, 600, 1, 100
26.185357, 600, 1, 100
26.173081, 600, 1, 100
26.212717, 600, 1, 100
26.197011, 600, 1, 100
26.170009, 600, 1, 100
26.163407, 600, 1, 100
26.249944, 600, 1, 100
26.215801, 600, 1, 100
28.696816, 600, 1, 100
26.163951, 600, 1, 100
26.342733, 600, 1, 100
26.26211, 600, 1, 100
26.138869, 600, 1, 100
